y,x1,x2,x3,x4,x5,x6
6.75,2.8,4.68,4.87,8.4,4.916,-1
13,1.4,5.19,4.5,6.5,4.563,-1
14.75,1.4,4.82,4.73,7.9,5.321,-1
12.6,3.3,4.85,4.76,8.3,4.865,-1
8.25,1.7,4.86,4.95,8.4,3.776,-1
10.67,2.9,5.16,4.45,7.4,4.397,-1
7.28,3.7,4.82,5.05,6.8,4.867,-1
12.67,1.7,4.86,4.7,8.6,4.828,-1
12.58,0.92,4.78,4.84,6.7,4.865,-1
20.6,0.68,5.16,4.76,7.7,4.034,-1
3.58,6,4.57,4.82,7.4,5.45,-1
7,4.3,4.61,4.65,6.7,4.853,-1
26.2,0.6,5.07,5.1,7.5,4.257,-1
11.67,1.8,4.66,5.09,8.2,5.144,-1
7.67,6,5.42,4.41,5.8,3.718,-1
12.25,4.4,5.01,4.74,7.1,4.715,-1
0.76,88,4.97,4.66,6.5,4.625,1
1.35,62,5.01,4.72,8,4.977,1
1.44,50,4.96,4.9,6.8,4.322,1
1.6,58,5.2,4.7,8.2,5.087,1
1.1,90,4.8,4.6,6.6,5.971,1
0.85,66,4.98,4.69,6.4,4.647,1
1.2,140,5.35,4.76,7.3,5.115,1
0.56,240,5.04,4.8,7.8,5.939,1
0.72,420,4.8,4.8,7.4,5.916,1
0.47,500,4.83,4.6,6.7,5.471,1
0.33,180,4.66,4.72,7.2,4.602,1
0.26,270,4.67,4.5,6.3,5.043,1
0.76,170,4.72,4.7,6.8,5.075,1
0.8,98,5,5.07,7.2,4.334,1
2,35,4.7,4.8,7.7,5.705,1
